"phone_id";"Company";"TypeName";"Inches";"resolution_width";"resolution_height";"touchscreen";"ips_panel";"cpu_brand";"cpu_speed";"Ram";"memory_type";"primary_storage";"secondary_storage";"gpu_brand";"OpSys";"Weight";"Price"
1;"Apple";"Ultrabook";13.3;2560;1600;0;1;"Intel";2.3;8;"SSD";128;0;"Intel";"macos";1.0;71378.6832
2;"Apple";"Ultrabook";13.3;1440;900;0;0;"Intel";1.8;8;"Flash Storage";128;0;"Intel";"macos";1.0;47895.5232
3;"HP";"Notebook";15.6;1920;1080;0;0;"Intel";2.5;8;"SSD";256;0;"Intel";"N/A";1.0;30636.0
4;"Apple";"Ultrabook";15.4;2880;1800;0;1;"Intel";2.7;16;"SSD";512;0;"AMD";"macos";1.0;135195.336
5;"Apple";"Ultrabook";13.3;2560;1600;0;1;"Intel";3.1;8;"SSD";256;0;"Intel";"macos";1.0;96095.808
6;"Acer";"Notebook";15.6;1366;768;0;0;"AMD";3.0;4;"HDD";500;0;"AMD";"windows";2.0;21312.0
7;"Apple";"Ultrabook";15.4;2880;1800;0;1;"Intel";2.2;16;"Flash Storage";256;0;"Intel";"macos";2.0;114017.6016
8;"Apple";"Ultrabook";13.3;1440;900;0;0;"Intel";1.8;8;"Flash Storage";256;0;"Intel";"macos";1.0;61735.536
9;"Asus";"Ultrabook";14.0;1920;1080;0;0;"Intel";1.8;16;"SSD";512;0;"Nvidia";"windows";1.0;79653.6
10;"Acer";"Ultrabook";14.0;1920;1080;0;1;"Intel";1.6;8;"SSD";256;0;"Intel";"windows";1.0;41025.6
11;"HP";"Notebook";15.6;1366;768;0;0;"Intel";2.5;4;"HDD";500;0;"Intel";"N/A";1.0;20986.992
12;"HP";"Notebook";15.6;1920;1080;0;0;"Intel";2.0;4;"HDD";500;0;"Intel";"N/A";1.0;18381.0672
13;"Apple";"Ultrabook";15.4;2880;1800;0;1;"Intel";2.8;16;"SSD";256;0;"AMD";"macos";1.0;130001.6016
14;"Dell";"Notebook";15.6;1920;1080;0;0;"Intel";2.0;4;"SSD";256;0;"AMD";"windows";2.0;26581.392
15;"Apple";"Ultrabook";12.0;2304;1440;0;1;"Intel";1.2;8;"SSD";256;0;"Intel";"macos";0.0;67260.672
16;"Apple";"Ultrabook";13.3;2560;1600;0;1;"Intel";2.3;8;"SSD";256;0;"Intel";"macos";1.0;80908.344
17;"Dell";"Notebook";15.6;1920;1080;0;0;"Intel";2.7;8;"SSD";256;0;"AMD";"windows";2.0;39693.6
18;"Apple";"Ultrabook";15.4;2880;1800;0;1;"Intel";2.9;16;"SSD";512;0;"AMD";"macos";1.0;152274.24
19;"Lenovo";"Notebook";15.6;1920;1080;0;0;"Intel";2.4;8;"HDD";1024;0;"Nvidia";"N/A";2.0;26586.72
20;"Dell";"Ultrabook";13.3;1920;1080;1;1;"Intel";1.6;8;"SSD";128;0;"Intel";"windows";1.0;52161.12
22;"Lenovo";"Gaming";15.6;1920;1080;0;1;"Intel";2.5;8;"Hybrid";128;1024;"Nvidia";"windows";2.0;53226.72
23;"HP";"Notebook";15.6;1366;768;0;0;"AMD";1.5;4;"HDD";500;0;"AMD";"N/A";1.0;13746.24
24;"Dell";"2 in 1 Convertible";13.3;1920;1080;1;0;"Intel";1.6;8;"SSD";256;0;"Intel";"windows";1.0;43636.32
25;"HP";"Ultrabook";15.6;1920;1080;0;0;"Intel";1.8;8;"SSD";256;0;"Intel";"windows";1.0;35111.52
26;"Dell";"Notebook";15.6;1366;768;0;0;"Intel";2.0;4;"HDD";1024;0;"Intel";"windows";2.0;22305.1392
27;"Apple";"Ultrabook";13.3;1440;900;0;0;"Intel";1.6;8;"Flash Storage";128;0;"Intel";"macos";1.0;58554.72
28;"Dell";"Notebook";15.6;1920;1080;0;0;"Intel";1.6;8;"SSD";256;0;"AMD";"windows";2.0;42624.0
29;"Dell";"Ultrabook";15.6;1920;1080;0;0;"Intel";1.9;8;"SSD";256;256;"Intel";"windows";1.0;69157.44
30;"HP";"Notebook";17.3;1920;1080;0;0;"Intel";1.6;8;"HDD";1024;0;"Nvidia";"windows";2.0;47738.88
31;"Chuwi";"Notebook";15.6;1920;1080;0;0;"Intel";1.4;4;"Flash Storage";64;0;"Intel";"windows";1.0;13053.0672
32;"Asus";"Notebook";14.0;1366;768;0;0;"AMD";1.5;2;"Flash Storage";32;0;"AMD";"windows";1.0;10602.72
33;"HP";"Notebook";17.3;1920;1080;0;0;"AMD";2.5;4;"HDD";500;0;"AMD";"windows";2.0;23389.92
34;"Dell";"Ultrabook";13.3;3200;1800;1;0;"Intel";1.8;16;"SSD";512;0;"Intel";"windows";1.0;99580.32
